replicon	feature_type	feat_start	feat_end	strand	feat_length_bp	locus_tag	gene	product	mod_code	mod_label	mod_description	raw_count	norm_count
NC_003197.2	CDS	336	2799	+	2463	EBBPGFGJ_00001	thrA	Bifunctional aspartokinase/homoserine dehydrogenase 1	m	5mC	5-methylcytosine	32	0.01299229
NC_003197.2	CDS	2800	3730	+	930	EBBPGFGJ_00002	thrB	Homoserine kinase	m	5mC	5-methylcytosine	15	0.01612903
NC_003197.2	CDS	3733	5020	+	1287	EBBPGFGJ_00003	thrC	Threonine synthase	m	5mC	5-methylcytosine	46	0.03574204
NC_003197.2	CDS	5113	5887	-	774	EBBPGFGJ_00004	yaaA	Peroxide stress resistance protein YaaA	m	5mC	5-methylcytosine	14	0.01808786
NC_003197.2	CDS	5965	7396	-	1431	EBBPGFGJ_00005	alsT_1	Amino-acid carrier protein AlsT	m	5mC	5-methylcytosine	59	0.04122991
NC_003197.2	CDS	7664	8618	+	954	EBBPGFGJ_00006	talB	Transaldolase B	m	5mC	5-methylcytosine	41	0.04297694
NC_003197.2	CDS	8728	9319	+	591	EBBPGFGJ_00007	mog	Molybdopterin adenylyltransferase	m	5mC	5-methylcytosine	33	0.05583756
NC_003197.2	CDS	9375	9942	-	567	EBBPGFGJ_00008	satP	Succinate-acetate/proton symporter SatP	m	5mC	5-methylcytosine	3	0.00529101
NC_003197.2	CDS	10091	10805	-	714	EBBPGFGJ_00009		hypothetical protein	m	5mC	5-methylcytosine	38	0.05322129
NC_003197.2	CDS	10840	11245	-	405	EBBPGFGJ_00010		hypothetical protein	m	5mC	5-methylcytosine	1	0.00246914
NC_003197.2	CDS	11592	13509	+	1917	EBBPGFGJ_00011	dnaK_1	Chaperone protein DnaK	m	5mC	5-methylcytosine	110	0.05738132
NC_003197.2	CDS	13594	14734	+	1140	EBBPGFGJ_00012	dnaJ	Chaperone protein DnaJ	m	5mC	5-methylcytosine	46	0.04035088
NC_003197.2	CDS	15013	15961	+	948	EBBPGFGJ_00013	ybdO_1	Uncharacterized HTH-type transcriptional regulator YbdO	m	5mC	5-methylcytosine	3	0.00316456
NC_003197.2	CDS	16087	16432	+	345	EBBPGFGJ_00014		hypothetical protein	m	5mC	5-methylcytosine	1	0.00289855
NC_003197.2	CDS	16492	17026	-	534	EBBPGFGJ_00015		hypothetical protein	m	5mC	5-methylcytosine	10	0.01872659
NC_003197.2	CDS	17042	17486	-	444	EBBPGFGJ_00016		hypothetical protein	m	5mC	5-methylcytosine	4	0.00900901
NC_003197.2	CDS	17866	19966	+	2100	EBBPGFGJ_00017		hypothetical protein	m	5mC	5-methylcytosine	22	0.01047619
NC_003197.2	CDS	20057	23054	+	2997	EBBPGFGJ_00018		hypothetical protein	m	5mC	5-methylcytosine	132	0.04404404
NC_003197.2	CDS	23334	24039	+	705	EBBPGFGJ_00019	iprA_1	Inhibitor of hydrogen peroxide resistance	m	5mC	5-methylcytosine	5	0.00709220
NC_003197.2	CDS	24468	25011	+	543	EBBPGFGJ_00020	elfA	Laminin-binding fimbrial subunit ElfA	m	5mC	5-methylcytosine	7	0.01289134
NC_003197.2	CDS	25111	25798	+	687	EBBPGFGJ_00021	sfmC_1	Probable fimbrial chaperone SfmC	m	5mC	5-methylcytosine	4	0.00582242
NC_003197.2	CDS	25802	28424	+	2622	EBBPGFGJ_00022	elfC_1	Probable outer membrane usher protein ElfC	m	5mC	5-methylcytosine	156	0.05949657
NC_003197.2	CDS	28424	29432	+	1008	EBBPGFGJ_00023	sfmH_1	Uncharacterized fimbrial-like protein SfmH	m	5mC	5-methylcytosine	18	0.01785714
NC_003197.2	CDS	29432	29978	+	546	EBBPGFGJ_00024	ycbU	Uncharacterized fimbrial-like protein YcbU	m	5mC	5-methylcytosine	1	0.00183150
NC_003197.2	CDS	29993	30512	+	519	EBBPGFGJ_00025	fimF_1	Protein FimF	m	5mC	5-methylcytosine	7	0.01348748
NC_003197.2	CDS	30477	31209	+	732	EBBPGFGJ_00026	ycbF	Uncharacterized fimbrial chaperone YcbF	m	5mC	5-methylcytosine	35	0.04781421
NC_003197.2	CDS	31273	32119	+	846	EBBPGFGJ_00027		hypothetical protein	m	5mC	5-methylcytosine	45	0.05319149
NC_003197.2	CDS	32544	32994	-	450	EBBPGFGJ_00029		hypothetical protein	m	5mC	5-methylcytosine	3	0.00666667
NC_003197.2	CDS	33363	34368	+	1005	EBBPGFGJ_00030	leuO_1	HTH-type transcriptional regulator LeuO	m	5mC	5-methylcytosine	13	0.01293532
NC_003197.2	CDS	34375	34816	-	441	EBBPGFGJ_00031		hypothetical protein	m	5mC	5-methylcytosine	5	0.01133787
NC_003197.2	CDS	35338	37057	+	1719	EBBPGFGJ_00032	assT_1	Arylsulfate sulfotransferase AssT	m	5mC	5-methylcytosine	8	0.00465387
NC_003197.2	CDS	37102	38665	-	1563	EBBPGFGJ_00033	mggB	Mannosylglucosyl-3-phosphoglycerate phosphatase	m	5mC	5-methylcytosine	19	0.01215611
NC_003197.2	CDS	38772	39534	-	762	EBBPGFGJ_00034		hypothetical protein	m	5mC	5-methylcytosine	4	0.00524934
NC_003197.2	CDS	40130	41624	+	1494	EBBPGFGJ_00035		N-acetylgalactosamine-6-O-sulfatase	m	5mC	5-methylcytosine	20	0.01338688
NC_003197.2	CDS	41722	42913	+	1191	EBBPGFGJ_00036	chuR_1	Anaerobic sulfatase-maturating enzyme	m	5mC	5-methylcytosine	5	0.00419815
NC_003197.2	CDS	42937	44185	+	1248	EBBPGFGJ_00037		hypothetical protein	m	5mC	5-methylcytosine	50	0.04006410
NC_003197.2	CDS	44311	46027	+	1716	EBBPGFGJ_00038	assT_2	Arylsulfate sulfotransferase AssT	m	5mC	5-methylcytosine	30	0.01748252
NC_003197.2	CDS	46189	47356	+	1167	EBBPGFGJ_00039	nhaA	Na(+)/H(+) antiporter NhaA	m	5mC	5-methylcytosine	48	0.04113111
NC_003197.2	CDS	47423	48317	+	894	EBBPGFGJ_00040	nhaR	Transcriptional activator protein NhaR	m	5mC	5-methylcytosine	14	0.01565996
NC_003197.2	CDS	48371	50411	-	2040	EBBPGFGJ_00041		hypothetical protein	m	5mC	5-methylcytosine	50	0.02450980
NC_003197.2	CDS	50450	51824	-	1374	EBBPGFGJ_00042	xylP	Isoprimeverose transporter	m	5mC	5-methylcytosine	14	0.01018923
NC_003197.2	CDS	52318	52528	+	210	EBBPGFGJ_00043		hypothetical protein	m	5mC	5-methylcytosine	12	0.05714286
NC_003197.2	CDS	52871	53810	+	939	EBBPGFGJ_00044	ribF	Bifunctional riboflavin kinase/FMN adenylyltransferase	m	5mC	5-methylcytosine	64	0.06815761
NC_003197.2	CDS	53854	56689	+	2835	EBBPGFGJ_00045	ileS	Isoleucine--tRNA ligase	m	5mC	5-methylcytosine	140	0.04938272
NC_003197.2	CDS	56688	57189	+	501	EBBPGFGJ_00046	lspA	Lipoprotein signal peptidase	m	5mC	5-methylcytosine	11	0.02195609
NC_003197.2	CDS	57343	57793	+	450	EBBPGFGJ_00047	fkpB	FKBP-type 16 kDa peptidyl-prolyl cis-trans isomerase	m	5mC	5-methylcytosine	13	0.02888889
NC_003197.2	CDS	57795	58746	+	951	EBBPGFGJ_00048	ispH	4-hydroxy-3-methylbut-2-enyl diphosphate reductase	m	5mC	5-methylcytosine	55	0.05783386
NC_003197.2	CDS	58945	60148	+	1203	EBBPGFGJ_00049		hypothetical protein	m	5mC	5-methylcytosine	3	0.00249377
NC_003197.2	CDS	60163	61084	+	921	EBBPGFGJ_00050	rihC	Non-specific ribonucleoside hydrolase RihC	m	5mC	5-methylcytosine	19	0.02062975
NC_003197.2	CDS	61105	61792	-	687	EBBPGFGJ_00051	citB	Transcriptional regulatory protein CitB	m	5mC	5-methylcytosine	3	0.00436681
NC_003197.2	CDS	61793	63452	-	1659	EBBPGFGJ_00052	citA	Sensor histidine kinase CitA	m	5mC	5-methylcytosine	5	0.00301386
NC_003197.2	CDS	63547	64849	-	1302	EBBPGFGJ_00053	oadB_1	Oxaloacetate decarboxylase beta chain	m	5mC	5-methylcytosine	118	0.09062980
NC_003197.2	CDS	64861	66637	-	1776	EBBPGFGJ_00054	oadA_1	Oxaloacetate decarboxylase alpha chain	m	5mC	5-methylcytosine	140	0.07882883
NC_003197.2	CDS	66653	66893	-	240	EBBPGFGJ_00055	oadG_1	Oxaloacetate decarboxylase gamma chain	m	5mC	5-methylcytosine	1	0.00416667
NC_003197.2	CDS	68711	69680	+	969	EBBPGFGJ_00057	citC_1	[Citrate [pro-3S]-lyase] ligase	m	5mC	5-methylcytosine	18	0.01857585
NC_003197.2	CDS	69709	70003	+	294	EBBPGFGJ_00058	citD_1	Citrate lyase acyl carrier protein	m	5mC	5-methylcytosine	2	0.00680272
NC_003197.2	CDS	69999	70869	+	870	EBBPGFGJ_00059	citE_1	Citrate lyase subunit beta	m	5mC	5-methylcytosine	70	0.08045977
NC_003197.2	CDS	70879	72400	+	1521	EBBPGFGJ_00060	citF_1	Citrate lyase alpha chain	m	5mC	5-methylcytosine	20	0.01314924
NC_003197.2	CDS	72399	72951	+	552	EBBPGFGJ_00061	citX_1	Apo-citrate lyase phosphoribosyl-dephospho-CoA transferase	m	5mC	5-methylcytosine	36	0.06521739
NC_003197.2	CDS	72928	73837	+	909	EBBPGFGJ_00062	citG_1	2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase	m	5mC	5-methylcytosine	27	0.02970297
NC_003197.2	CDS	74016	74838	+	822	EBBPGFGJ_00063	dapB	4-hydroxy-tetrahydrodipicolinate reductase	m	5mC	5-methylcytosine	37	0.04501217
NC_003197.2	CDS	75879	77028	+	1149	EBBPGFGJ_00065	carA	Carbamoyl-phosphate synthase small chain	m	5mC	5-methylcytosine	13	0.01131419
NC_003197.2	CDS	77046	80274	+	3228	EBBPGFGJ_00066	carB	Carbamoyl-phosphate synthase large chain	m	5mC	5-methylcytosine	214	0.06629492
