replicon	feature_type	feat_start	feat_end	strand	feat_length_bp	locus_tag	gene	product	mod_code	mod_label	mod_description	raw_count	norm_count
NC_003197.2	CDS	336	2799	+	2463	EBBPGFGJ_00001	thrA	Bifunctional aspartokinase/homoserine dehydrogenase 1	m4C	m4C	4-methylcytosine	6	0.00243605
NC_003197.2	CDS	2800	3730	+	930	EBBPGFGJ_00002	thrB	Homoserine kinase	m4C	m4C	4-methylcytosine	5	0.00537634
NC_003197.2	CDS	3733	5020	+	1287	EBBPGFGJ_00003	thrC	Threonine synthase	m4C	m4C	4-methylcytosine	4	0.00310800
NC_003197.2	CDS	5113	5887	-	774	EBBPGFGJ_00004	yaaA	Peroxide stress resistance protein YaaA	m4C	m4C	4-methylcytosine	1	0.00129199
NC_003197.2	CDS	5965	7396	-	1431	EBBPGFGJ_00005	alsT_1	Amino-acid carrier protein AlsT	m4C	m4C	4-methylcytosine	4	0.00279525
NC_003197.2	CDS	7664	8618	+	954	EBBPGFGJ_00006	talB	Transaldolase B	m4C	m4C	4-methylcytosine	2	0.00209644
NC_003197.2	CDS	10091	10805	-	714	EBBPGFGJ_00009		hypothetical protein	m4C	m4C	4-methylcytosine	4	0.00560224
NC_003197.2	CDS	11592	13509	+	1917	EBBPGFGJ_00011	dnaK_1	Chaperone protein DnaK	m4C	m4C	4-methylcytosine	17	0.00886802
NC_003197.2	CDS	13594	14734	+	1140	EBBPGFGJ_00012	dnaJ	Chaperone protein DnaJ	m4C	m4C	4-methylcytosine	4	0.00350877
NC_003197.2	CDS	17866	19966	+	2100	EBBPGFGJ_00017		hypothetical protein	m4C	m4C	4-methylcytosine	3	0.00142857
NC_003197.2	CDS	20057	23054	+	2997	EBBPGFGJ_00018		hypothetical protein	m4C	m4C	4-methylcytosine	16	0.00533867
NC_003197.2	CDS	23334	24039	+	705	EBBPGFGJ_00019	iprA_1	Inhibitor of hydrogen peroxide resistance	m4C	m4C	4-methylcytosine	1	0.00141844
NC_003197.2	CDS	24468	25011	+	543	EBBPGFGJ_00020	elfA	Laminin-binding fimbrial subunit ElfA	m4C	m4C	4-methylcytosine	1	0.00184162
NC_003197.2	CDS	25111	25798	+	687	EBBPGFGJ_00021	sfmC_1	Probable fimbrial chaperone SfmC	m4C	m4C	4-methylcytosine	2	0.00291121
NC_003197.2	CDS	25802	28424	+	2622	EBBPGFGJ_00022	elfC_1	Probable outer membrane usher protein ElfC	m4C	m4C	4-methylcytosine	16	0.00610221
NC_003197.2	CDS	28424	29432	+	1008	EBBPGFGJ_00023	sfmH_1	Uncharacterized fimbrial-like protein SfmH	m4C	m4C	4-methylcytosine	1	0.00099206
NC_003197.2	CDS	30477	31209	+	732	EBBPGFGJ_00026	ycbF	Uncharacterized fimbrial chaperone YcbF	m4C	m4C	4-methylcytosine	3	0.00409836
NC_003197.2	CDS	31273	32119	+	846	EBBPGFGJ_00027		hypothetical protein	m4C	m4C	4-methylcytosine	5	0.00591017
NC_003197.2	CDS	33363	34368	+	1005	EBBPGFGJ_00030	leuO_1	HTH-type transcriptional regulator LeuO	m4C	m4C	4-methylcytosine	2	0.00199005
NC_003197.2	CDS	34375	34816	-	441	EBBPGFGJ_00031		hypothetical protein	m4C	m4C	4-methylcytosine	1	0.00226757
NC_003197.2	CDS	35338	37057	+	1719	EBBPGFGJ_00032	assT_1	Arylsulfate sulfotransferase AssT	m4C	m4C	4-methylcytosine	2	0.00116347
NC_003197.2	CDS	37102	38665	-	1563	EBBPGFGJ_00033	mggB	Mannosylglucosyl-3-phosphoglycerate phosphatase	m4C	m4C	4-methylcytosine	2	0.00127959
NC_003197.2	CDS	38772	39534	-	762	EBBPGFGJ_00034		hypothetical protein	m4C	m4C	4-methylcytosine	1	0.00131234
NC_003197.2	CDS	40130	41624	+	1494	EBBPGFGJ_00035		N-acetylgalactosamine-6-O-sulfatase	m4C	m4C	4-methylcytosine	1	0.00066934
NC_003197.2	CDS	41722	42913	+	1191	EBBPGFGJ_00036	chuR_1	Anaerobic sulfatase-maturating enzyme	m4C	m4C	4-methylcytosine	1	0.00083963
NC_003197.2	CDS	42937	44185	+	1248	EBBPGFGJ_00037		hypothetical protein	m4C	m4C	4-methylcytosine	4	0.00320513
NC_003197.2	CDS	44311	46027	+	1716	EBBPGFGJ_00038	assT_2	Arylsulfate sulfotransferase AssT	m4C	m4C	4-methylcytosine	5	0.00291375
NC_003197.2	CDS	46189	47356	+	1167	EBBPGFGJ_00039	nhaA	Na(+)/H(+) antiporter NhaA	m4C	m4C	4-methylcytosine	7	0.00599829
NC_003197.2	CDS	47423	48317	+	894	EBBPGFGJ_00040	nhaR	Transcriptional activator protein NhaR	m4C	m4C	4-methylcytosine	1	0.00111857
NC_003197.2	CDS	48371	50411	-	2040	EBBPGFGJ_00041		hypothetical protein	m4C	m4C	4-methylcytosine	7	0.00343137
NC_003197.2	CDS	50450	51824	-	1374	EBBPGFGJ_00042	xylP	Isoprimeverose transporter	m4C	m4C	4-methylcytosine	4	0.00291121
NC_003197.2	CDS	52871	53810	+	939	EBBPGFGJ_00044	ribF	Bifunctional riboflavin kinase/FMN adenylyltransferase	m4C	m4C	4-methylcytosine	3	0.00319489
